Time (s),Extension (mm),Load (N),Tensile strain (mm/mm)
38.87,2.649,7724.80957,0.02002
38.97,2.649,7723.96387,0.02002
39.07,2.649,7723.07666,0.02002
39.17,2.649,7722.0127,0.02002
39.27,2.649,7721.07715,0.02002
39.37,2.649,7720.08057,0.02002
39.47,2.649,7719.30566,0.02002
39.57,2.649,7718.33301,0.02002
39.67,2.649,7717.52881,0.02002
39.77,2.649,7716.60938,0.02002
39.87,2.649,7715.84082,0.02002
39.97,2.649,7714.83838,0.02002
40.07,2.649,7713.94385,0.02002
40.17,2.649,7713.25146,0.02002
40.27,2.649,7712.37451,0.02002
40.37,2.649,7711.62354,0.02002
40.47,2.649,7710.86279,0.02002
40.57,2.649,7710.24658,0.02002
40.67,2.649,7709.35498,0.02002
40.77,2.649,7708.55322,0.02002
40.87,2.649,7707.67041,0.02002
40.97,2.649,7707.11768,0.02002
41.07,2.649,7706.34863,0.02002
41.17,2.649,7705.63574,0.02002
41.27,2.649,7704.94189,0.02002
41.37,2.649,7704.37354,0.02002
41.47,2.649,7703.65137,0.02002
41.57,2.649,7702.68164,0.02002
41.67,2.649,7702.28516,0.02002
41.77,2.649,7701.5376,0.02002
41.87,2.649,7701.07275,0.02002
41.97,2.649,7700.2168,0.02002
42.07,2.649,7699.52441,0.02002
42.17,2.649,7699.24316,0.02002
42.27,2.649,7698.37939,0.02002
42.37,2.649,7697.77832,0.02002
42.47,2.649,7697.29785,0.02002
42.57,2.649,7696.65918,0.02002
42.67,2.649,7696.02295,0.02002
42.77,2.649,7695.44922,0.02002
42.87,2.649,7694.87109,0.02002
42.97,2.649,7694.12988,0.02002
43.07,2.649,7693.69824,0.02002
43.17,2.649,7693.11182,0.02002
43.27,2.649,7692.65674,0.02002
43.37,2.649,7691.98633,0.02002
43.47,2.649,7691.64111,0.02002
43.57,2.649,7690.98828,0.02002
43.67,2.649,7690.63818,0.02002
43.77,2.649,7689.99316,0.02002
43.87,2.649,7689.20654,0.02002
43.97,2.649,7688.91553,0.02002
44.07,2.649,7688.45361,0.02002
44.17,2.649,7687.95752,0.02002
44.27,2.649,7687.39209,0.02002
44.37,2.649,7687.08301,0.02002
44.47,2.649,7686.60547,0.02002
44.57,2.649,7686.08984,0.02002
44.67,2.649,7685.4126,0.02002
44.77,2.649,7684.91699,0.02002
44.87,2.649,7684.49512,0.02002
44.97,2.649,7683.87988,0.02002
45.07,2.649,7683.7085,0.02002
45.17,2.649,7682.62744,0.02002
45.27,2.649,7682.39355,0.02002
45.37,2.649,7681.81982,0.02002
45.47,2.649,7681.79004,0.02002
45.57,2.649,7680.73486,0.02002
45.67,2.649,7680.47266,0.02002
45.77,2.649,7679.8999,0.02002
45.87,2.649,7679.01025,0.02002
45.97,2.649,7678.84326,0.02002
46.07,2.649,7678.31934,0.02002
46.17,2.649,7677.73975,0.02002
46.27,2.649,7677.2749,0.02002
46.37,2.649,7676.92676,0.02002
46.47,2.649,7676.52002,0.02002
46.57,2.649,7675.49805,0.02002
46.67,2.649,7675.69385,0.02002
46.77,2.649,7674.55322,0.02002
46.87,2.649,7674.91699,0.02002
46.97,2.649,7673.94434,0.02002
47.07,2.649,7673.61768,0.02002
47.17,2.649,7673.38574,0.02002
47.27,2.649,7672.82715,0.02002
47.37,2.649,7672.72314,0.02002
47.47,2.649,7671.73975,0.02002
47.57,2.649,7671.41943,0.02002
47.67,2.649,7670.99658,0.02002
47.77,2.649,7670.18945,0.02002
47.87,2.649,7670.65527,0.02002
47.97,2.649,7670.11865,0.02002
48.07,2.649,7669.94434,0.02002
48.17,2.649,7670.97998,0.02002
48.27,2.649,7669.91748,0.02002
48.37,2.649,7669.40576,0.02002
48.47,2.649,7669.03516,0.02002
48.57,2.649,7668.52295,0.02002
48.67,2.649,7668.30811,0.02002
48.77,2.649,7668.00928,0.02002
48.87,2.649,7667.88135,0.02002
48.97,2.649,7667.54053,0.02002
49.07,2.649,7666.96875,0.02002
49.17,2.649,7666.97363,0.02002
49.27,2.649,7666.49756,0.02002
49.37,2.649,7666.23633,0.02002
49.47,2.649,7665.65137,0.02002
49.57,2.649,7665.646,0.02002
49.67,2.649,7665.20068,0.02002
49.77,2.649,7665.0127,0.02002
49.87,2.649,7664.79688,0.02002
49.97,2.649,7664.41895,0.02002
50.07,2.649,7664.0835,0.02002
50.17,2.649,7663.93311,0.02002
50.27,2.649,7663.53223,0.02002
50.37,2.649,7663.1709,0.02002
50.47,2.649,7663.06006,0.02002
50.57,2.649,7662.62402,0.02002
50.67,2.649,7662.21875,0.02002
50.77,2.649,7662.08447,0.02002
50.87,2.649,7661.65869,0.02002
50.97,2.649,7661.39795,0.02002
51.07,2.649,7661.104,0.02002
51.17,2.649,7661.01465,0.02002
51.27,2.649,7660.58057,0.02002
51.37,2.649,7660.66699,0.02002
51.47,2.649,7660.30615,0.02002
51.57,2.649,7660.08203,0.02002
51.67,2.649,7659.84424,0.02002
51.77,2.649,7659.66113,0.02002
51.87,2.649,7659.39893,0.02002
51.97,2.649,7659.28613,0.02002
52.07,2.649,7658.65381,0.02002
52.17,2.649,7659.01074,0.02002
52.27,2.649,7658.52393,0.02002
52.37,2.649,7657.84961,0.02002
52.47,2.649,7658.02783,0.02002
52.57,2.649,7657.60107,0.02002
52.67,2.649,7657.01318,0.02002
52.77,2.649,7656.61426,0.02002
52.87,2.649,7656.81641,0.02002
52.97,2.649,7656.47803,0.02002
53.07,2.649,7656.25537,0.02002
